ITEM   , LEN_P , LEN_L ,   N   ,   PN   ,  AOA  ,  AOA2  ,  IMG  ,  IMG2  
replica,7,7,0,1,NA,NA,NA,NA
replicas,8,8,0,1,NA,NA,NA,NA
reporters,7,9,0,1,NA,NA,NA,NA
repression,7,10,2,2,NA,611,NA,234
reprimands,NA,10,0,NA,NA,NA,NA,NA
reprisal,7,8,0,1,639,NA,294,NA
reprisals,8,9,0,1,NA,NA,NA,NA
reps,4,4,3,6,NA,NA,NA,NA
reptilians,NA,10,0,NA,NA,NA,NA,NA
republics,9,9,0,2,NA,NA,NA,NA
repurchase,NA,10,0,NA,NA,NA,NA,NA
requester,NA,9,1,NA,NA,NA,NA,NA
rescission,NA,10,0,NA,NA,NA,NA,NA
rescuer,7,7,2,1,NA,NA,NA,NA
rescuers,7,8,0,2,NA,NA,NA,NA
researcher,7,10,2,0,NA,598,NA,475
resentment,10,10,0,0,539,NA,352,NA
reservists,9,10,0,0,NA,NA,NA,NA
reservoir,8,9,0,1,NA,NA,NA,NA
reservoirs,8,10,0,1,NA,NA,NA,NA
reshuffle,6,9,0,0,NA,NA,NA,NA
residence,8,9,0,2,NA,NA,NA,NA
residents,9,9,0,4,NA,NA,NA,NA
residue,7,7,0,1,NA,NA,487,NA
residues,8,8,0,1,NA,NA,NA,NA
resistance,9,10,0,1,503,NA,416,NA
resistors,8,9,0,1,NA,NA,NA,NA
resonance,8,9,0,1,NA,NA,NA,NA
resources,7,9,0,1,NA,NA,NA,NA
respondent,10,10,1,1,NA,NA,NA,NA
responder,NA,9,1,NA,NA,NA,NA,NA
responders,NA,10,0,NA,NA,NA,NA,NA
responses,9,9,0,1,NA,NA,NA,NA
restaurant,8,10,0,0,NA,NA,611,NA
restorer,NA,8,2,NA,NA,NA,NA,NA
resumption,8,10,0,0,603,NA,264,NA
resurgence,8,10,0,1,NA,NA,NA,NA
ret,3,3,18,30,NA,NA,NA,NA
retailer,7,8,1,1,NA,NA,445,NA
retailers,7,9,1,1,NA,NA,NA,NA
retainer,7,8,2,1,NA,NA,NA,NA
retainers,7,9,1,1,NA,NA,NA,NA
retardant,NA,9,0,NA,NA,NA,NA,NA
retention,7,9,1,2,592,NA,316,NA
reticence,8,9,0,1,NA,NA,NA,NA
retina,6,6,0,0,NA,NA,NA,NA
retiree,NA,7,2,NA,NA,NA,NA,NA
retirees,NA,8,0,NA,NA,NA,NA,NA
retraction,8,10,0,0,NA,NA,NA,NA
retraining,NA,10,1,NA,NA,NA,NA,NA
retrial,NA,7,0,NA,NA,NA,NA,NA
retrieval,7,9,0,0,NA,NA,NA,NA
retriever,NA,9,1,NA,NA,NA,NA,NA
retrievers,NA,10,0,NA,NA,NA,NA,NA
retrospect,10,10,0,0,NA,NA,NA,NA
returnee,NA,8,1,NA,NA,NA,NA,NA
returnees,NA,9,0,NA,NA,NA,NA,NA
reunions,9,8,0,1,NA,NA,NA,NA
rev,8,3,4,2,NA,555,NA,398
revelers,NA,8,0,NA,NA,NA,NA,NA
revellers,NA,9,1,NA,NA,NA,NA,NA
revelry,6,7,0,2,NA,NA,NA,NA
revenue,7,7,1,1,569,NA,330,NA
revenues,8,8,0,1,NA,NA,NA,NA
reverence,8,9,1,3,NA,NA,NA,NA
reverie,6,7,1,1,NA,NA,NA,NA
reveries,7,8,1,1,NA,NA,NA,NA
reversal,6,8,0,2,NA,NA,NA,NA
reversals,7,9,0,3,NA,NA,NA,NA
reversion,6,9,0,0,NA,NA,NA,NA
reviewer,7,8,1,1,NA,NA,NA,NA
reviewers,7,9,0,1,NA,NA,NA,NA
revision,6,8,0,2,NA,NA,NA,NA
revisions,7,9,0,2,NA,NA,NA,NA
revival,6,7,0,1,NA,NA,NA,NA
revivals,7,8,0,1,NA,NA,NA,NA
revolver,8,8,2,1,NA,NA,629,NA
revolvers,8,9,0,1,NA,NA,NA,NA
revs,NA,4,2,NA,NA,NA,NA,NA
revulsion,7,9,1,1,NA,NA,NA,NA
rezoning,NA,8,0,NA,NA,NA,NA,NA
rhetoric,7,8,0,0,NA,NA,NA,NA
rho,NA,3,1,NA,NA,NA,NA,NA
ribaldry,NA,8,0,NA,NA,NA,NA,NA
ries,NA,4,8,NA,NA,NA,NA,NA
riflery,NA,7,0,NA,NA,NA,NA,NA
rift,4,4,6,13,NA,NA,NA,NA
rifts,5,5,4,8,NA,NA,NA,NA
rims,4,4,5,10,NA,NA,NA,NA
rind,4,4,9,18,NA,NA,NA,NA
rinds,5,5,8,10,NA,NA,NA,NA
ringe,NA,5,7,NA,NA,NA,NA,NA
ringmaster,NA,10,0,NA,NA,NA,NA,NA
rinks,NA,5,11,NA,NA,NA,NA,NA
risotto,NA,7,0,NA,NA,NA,NA,NA
rite,3,4,12,29,NA,NA,353,NA
rites,4,5,8,19,NA,NA,NA,NA
rituals,6,7,0,1,NA,NA,NA,NA
rivalries,7,9,0,1,NA,NA,NA,NA
rivalry,6,7,0,2,NA,NA,NA,NA
riverbed,7,8,0,0,NA,NA,NA,NA
riverboats,NA,10,0,NA,NA,NA,NA,NA
roads,4,5,5,16,NA,NA,NA,NA
robberies,7,9,0,1,NA,NA,NA,NA
robe,3,4,8,20,359,NA,566,NA
robes,4,5,5,11,NA,NA,NA,NA
rocketry,NA,8,0,NA,NA,NA,NA,NA
rods,4,4,10,14,NA,NA,NA,NA
rogues,4,6,0,9,NA,NA,NA,NA
role,3,4,14,31,NA,NA,385,NA
roles,4,5,11,21,NA,NA,NA,NA
rollover,NA,8,0,NA,NA,NA,NA,NA
romantics,9,9,0,1,NA,NA,NA,NA
romeos,NA,6,0,NA,NA,NA,NA,NA
rood,3,4,10,26,NA,NA,NA,NA
roofs,4,5,4,7,NA,NA,NA,NA
rosaries,NA,8,0,NA,NA,NA,NA,NA
rosary,6,6,1,1,NA,NA,NA,NA
rotation,6,8,1,2,494,NA,448,NA
rotations,7,9,1,2,NA,NA,NA,NA
rote,3,4,15,26,NA,NA,NA,NA
routes,4,6,2,15,NA,NA,NA,NA
roux,2,4,1,29,NA,NA,NA,NA
royalist,7,8,1,1,NA,NA,NA,NA
royalties,7,9,1,2,NA,NA,NA,NA
royalty,6,7,2,2,NA,389,NA,596
rpm,NA,3,3,NA,NA,NA,NA,NA
rubicon,NA,7,0,NA,NA,NA,NA,NA
rucks,4,5,8,16,NA,NA,NA,NA
rudiment,NA,8,0,NA,NA,NA,NA,NA
rudiments,8,9,0,0,NA,NA,NA,NA
ruff,3,4,6,21,NA,NA,NA,NA
rug,3,3,16,24,233,NA,591,NA
rumblings,8,9,1,1,NA,NA,NA,NA
rump,4,4,8,11,NA,NA,NA,NA
rums,NA,4,12,NA,NA,NA,NA,NA
runabout,NA,8,0,NA,NA,NA,NA,NA
runaways,7,8,0,1,NA,NA,NA,NA
rungs,4,5,2,9,NA,NA,NA,NA
ruse,3,4,9,29,NA,NA,NA,NA
ruts,4,4,11,16,NA,NA,NA,NA
saboteur,7,8,0,1,NA,NA,NA,NA
saboteurs,7,9,0,1,NA,NA,NA,NA
sac,3,3,10,29,NA,NA,NA,NA
saccharin,7,9,0,1,NA,NA,NA,NA
sacrament,9,9,0,1,NA,NA,NA,NA
sacraments,10,10,0,2,NA,NA,NA,NA
sacredness,9,10,0,0,NA,NA,NA,NA
sacrilege,8,9,0,0,NA,NA,NA,NA
sacs,4,4,6,22,NA,NA,NA,NA
saddlebags,NA,10,0,NA,NA,NA,NA,NA
saddler,NA,7,2,NA,NA,NA,NA,NA
sadism,7,6,1,0,NA,NA,NA,NA
safari,6,6,0,0,NA,NA,NA,NA
safaris,NA,7,0,NA,NA,NA,NA,NA
safes,4,5,5,2,NA,NA,NA,NA
sagittal,NA,8,0,NA,NA,NA,NA,NA
sake,4,4,15,4,NA,NA,NA,NA
sakes,NA,5,11,NA,NA,NA,NA,NA
salamis,NA,7,0,NA,NA,NA,NA,NA
salaries,7,8,1,4,NA,NA,NA,NA
salary,6,6,0,5,558,NA,452,NA
sales,4,5,12,25,NA,NA,NA,NA
saleswoman,NA,10,0,NA,NA,NA,NA,NA
saleswomen,NA,10,0,NA,NA,NA,NA,NA
saliva,6,6,0,0,NA,NA,NA,NA
salomon,NA,7,0,NA,NA,NA,NA,NA
salts,5,5,3,5,NA,NA,NA,NA
salvagers,NA,9,0,NA,NA,NA,NA,NA
salvation,7,9,0,0,558,NA,408,NA
salves,NA,6,5,NA,NA,NA,NA,NA
samsara,NA,7,0,NA,NA,NA,NA,NA
samurai,6,7,0,0,NA,NA,NA,NA
samurais,NA,8,0,NA,NA,NA,NA,NA
sanctity,8,8,0,0,NA,NA,330,NA
sandwiches,8,10,1,0,NA,NA,NA,NA
sanhedrin,NA,9,0,NA,NA,NA,NA,NA
sanity,6,6,1,1,NA,NA,NA,NA
sapiens,NA,7,0,NA,NA,NA,NA,NA
saracens,NA,8,0,NA,NA,NA,NA,NA
sarcasm,7,7,0,0,NA,NA,NA,NA
satellite,7,9,0,1,NA,NA,NA,NA
sates,NA,5,14,NA,NA,NA,NA,NA
satire,6,6,0,1,NA,NA,370,NA
satirist,NA,8,0,NA,NA,NA,NA,NA
satirists,NA,9,0,NA,NA,NA,NA,NA
sauce,3,5,1,9,258,NA,569,NA
sauerkraut,7,10,0,0,NA,NA,585,NA
sausages,7,8,0,0,NA,NA,NA,NA
savannas,NA,8,0,NA,NA,NA,NA,NA
saxophone,8,9,0,0,519,NA,602,NA
saxophones,NA,10,0,NA,NA,NA,NA,NA
scabs,5,5,4,5,NA,NA,NA,NA
scads,NA,5,2,NA,NA,NA,NA,NA
scags,NA,5,5,NA,NA,NA,NA,NA
scalps,6,6,1,1,NA,NA,NA,NA
scandia,NA,7,0,NA,NA,NA,NA,NA
scarcity,7,8,0,0,NA,NA,NA,NA
scarf,4,5,3,7,269,NA,610,NA
scarfs,NA,6,1,NA,NA,NA,NA,NA
scarves,5,7,0,3,NA,NA,NA,NA
scavenger,9,9,1,1,NA,NA,501,NA
scavengers,9,10,0,1,NA,NA,NA,NA
scene,3,5,2,14,425,NA,432,NA
sceneries,NA,9,0,NA,NA,NA,NA,NA
scenery,6,7,0,1,NA,NA,NA,NA
scenes,4,6,2,11,NA,NA,NA,NA
scheduler,NA,9,2,NA,NA,NA,NA,NA
schematics,NA,10,0,NA,NA,NA,NA,NA
schlock,NA,7,0,NA,NA,NA,NA,NA
schmaltz,NA,8,0,NA,NA,NA,NA,NA
schnapps,5,8,0,2,NA,NA,NA,NA
schnooks,NA,8,0,NA,NA,NA,NA,NA
schtick,NA,7,0,NA,NA,NA,NA,NA
sciences,7,8,0,1,NA,NA,NA,NA
scientists,9,10,0,1,NA,NA,NA,NA
scintilla,NA,9,0,NA,NA,NA,NA,NA
sclerosis,9,9,0,0,NA,NA,NA,NA
sconce,NA,6,0,NA,NA,NA,NA,NA
scones,5,6,3,6,NA,NA,NA,NA
scope,4,5,3,5,570,NA,191,NA
scopes,NA,6,3,NA,NA,NA,NA,NA
scorn,4,5,4,14,471,NA,364,NA
scorns,5,6,2,7,NA,NA,NA,NA
scorpion,7,8,0,1,NA,NA,NA,NA
scourge,4,7,0,4,NA,NA,NA,NA
scraps,6,6,2,4,NA,NA,NA,NA
scribe,5,6,0,3,NA,NA,NA,NA
scribes,6,7,1,3,NA,NA,NA,NA
scrip,NA,5,2,NA,NA,NA,NA,NA
scrutiny,8,8,0,0,NA,NA,NA,NA
scythe,3,6,0,10,NA,NA,NA,NA
seafarer,NA,8,0,NA,NA,NA,NA,NA
seafarers,NA,9,0,NA,NA,NA,NA,NA
seam,3,4,9,14,NA,NA,555,NA
seas,3,4,9,24,NA,NA,NA,NA
seasonings,NA,10,0,NA,NA,NA,NA,NA
seawater,7,8,0,0,NA,NA,NA,NA
secession,6,9,1,1,NA,NA,NA,NA
seclusion,7,9,0,0,NA,NA,NA,NA
secrecy,7,7,0,0,NA,NA,NA,NA
secretion,7,9,0,1,NA,NA,NA,NA
secretions,8,10,0,1,NA,NA,NA,NA
sect,4,4,4,13,NA,611,NA,250
sedation,6,8,1,1,NA,NA,NA,NA
sediment,8,8,1,1,NA,NA,NA,NA
sediments,NA,9,1,NA,NA,NA,NA,NA
sedition,6,8,1,2,NA,NA,NA,NA
seducer,8,7,2,0,NA,NA,NA,NA
seduction,7,9,2,3,628,NA,521,NA
seer,4,4,12,8,611,NA,309,NA
seers,4,5,8,7,NA,NA,NA,NA
seis,NA,4,5,NA,NA,NA,NA,NA
selection,7,9,0,2,439,NA,311,NA
selections,8,10,0,2,NA,NA,NA,NA
selenite,NA,8,0,NA,NA,NA,NA,NA
selfs,NA,5,2,NA,NA,NA,NA,NA
selves,5,6,2,5,NA,NA,NA,NA
semantics,9,9,0,1,NA,NA,NA,NA
semesters,NA,9,0,NA,NA,NA,NA,NA
seminar,7,7,1,1,NA,NA,NA,NA
seminars,7,8,1,1,NA,NA,NA,NA
senators,7,8,0,1,NA,NA,NA,NA
sensation,7,9,0,2,NA,NA,394,NA
sensations,8,10,0,1,NA,NA,NA,NA
sentiment,9,9,0,1,514,NA,365,NA
sentiments,10,10,0,1,NA,NA,NA,NA
sentinel,7,8,0,1,NA,NA,NA,NA
sepia,5,5,0,0,NA,579,NA,374
sequences,9,9,0,0,NA,NA,NA,NA
sequester,NA,9,0,NA,NA,NA,NA,NA
sequitur,NA,8,0,NA,NA,NA,NA,NA
sequiturs,NA,9,0,NA,NA,NA,NA,NA
sequoias,NA,8,0,NA,NA,NA,NA,NA
seraphim,NA,8,0,NA,NA,NA,NA,NA
serbians,NA,8,0,NA,NA,NA,NA,NA
sereno,NA,6,1,NA,NA,NA,NA,NA
seres,NA,5,3,NA,NA,NA,NA,NA
serf,3,4,2,6,NA,NA,NA,NA
serfs,4,5,0,3,NA,NA,NA,NA
serials,6,7,1,2,NA,NA,NA,NA
serv,NA,4,1,NA,NA,NA,NA,NA
serviceman,NA,10,1,NA,NA,NA,NA,NA
servicemen,8,10,0,0,NA,NA,NA,NA
services,7,8,1,2,NA,NA,NA,NA
servitude,8,9,0,1,NA,NA,NA,NA
settlement,8,10,0,0,478,NA,457,NA
settler,6,7,2,3,NA,NA,528,NA
sewerage,5,8,0,0,NA,NA,NA,NA
sexiness,8,8,0,0,NA,NA,NA,NA
sexism,8,6,1,0,NA,NA,NA,NA
sextuplet,NA,9,0,NA,NA,NA,NA,NA
sextuplets,NA,10,0,NA,NA,NA,NA,NA
shacks,4,6,8,15,NA,NA,NA,NA
shadowland,NA,10,0,NA,NA,NA,NA,NA
shafts,5,6,1,3,NA,NA,NA,NA
shale,3,5,11,26,NA,NA,NA,NA
shamanism,NA,9,0,NA,NA,NA,NA,NA
shank,4,5,5,12,NA,NA,NA,NA
shant,NA,5,6,NA,NA,NA,NA,NA
shantytown,NA,10,0,NA,NA,NA,NA,NA
shap,NA,4,10,NA,NA,NA,NA,NA
shard,NA,5,5,NA,NA,NA,NA,NA
shards,4,6,2,5,NA,NA,NA,NA
sharia,NA,6,0,NA,NA,NA,NA,NA
sharks,4,6,5,8,NA,NA,NA,NA
shawl,3,5,1,18,331,NA,576,NA
shawls,4,6,0,8,NA,NA,NA,NA
sheaf,3,5,2,8,NA,NA,NA,NA
shears,3,6,3,21,NA,NA,NA,NA
sheath,3,6,0,5,NA,NA,NA,NA
sheaves,4,7,1,6,NA,NA,NA,NA
sheens,NA,6,1,NA,NA,NA,NA,NA
sheep,3,5,6,11,199,208,641,NA
sheet,3,5,5,13,251,NA,594,NA
sheik,NA,5,0,NA,NA,NA,NA,NA
sheikh,3,6,0,20,NA,NA,NA,NA
sheiks,NA,6,1,NA,NA,NA,NA,NA
shelf,4,5,2,7,282,NA,571,NA
shells,4,6,3,15,NA,NA,NA,NA
shire,4,5,5,11,NA,NA,NA,NA
shires,4,6,5,9,NA,NA,NA,NA
shirt,3,5,4,11,269,NA,612,NA
shirts,4,6,4,8,NA,NA,NA,NA
shive,NA,5,4,NA,NA,NA,NA,NA
shoals,4,6,0,14,NA,NA,NA,NA
shoemakers,7,10,0,1,NA,NA,NA,NA
shopkeeper,8,10,0,0,NA,329,NA,595
shoplifter,NA,10,0,NA,NA,NA,NA,NA
shortages,7,9,0,0,NA,NA,NA,NA
shorts,4,6,7,13,NA,NA,NA,NA
shots,4,5,7,17,NA,NA,NA,NA
showcases,7,9,0,0,NA,NA,NA,NA
showcasing,NA,10,0,NA,NA,NA,NA,NA
shrift,5,6,1,4,NA,NA,NA,NA
shrimp,5,6,0,2,NA,NA,618,NA
shrine,4,6,1,2,NA,NA,NA,NA
shrines,5,7,1,2,NA,NA,NA,NA
shrub,4,5,2,4,383,NA,556,NA
shrubbery,7,9,0,1,NA,NA,NA,NA
shrubs,5,6,2,4,NA,NA,NA,NA
shuffler,NA,8,1,NA,NA,NA,NA,NA
shuttering,NA,10,3,NA,NA,NA,NA,NA
siege,3,5,2,10,503,NA,445,NA
sienna,NA,6,0,NA,NA,NA,NA,NA
signature,8,9,0,1,NA,NA,NA,NA
signatures,8,10,0,1,NA,NA,NA,NA
signori,NA,7,1,NA,NA,NA,NA,NA
sikhs,NA,5,1,NA,NA,NA,NA,NA
silicone,7,8,0,1,NA,NA,NA,NA
silks,5,5,6,5,NA,NA,NA,NA
silliness,7,9,0,1,NA,381,NA,342
sines,NA,5,17,NA,NA,NA,NA,NA
sinuses,7,7,0,0,NA,NA,NA,NA
sires,NA,5,11,NA,NA,NA,NA,NA
sisterhood,8,10,0,0,NA,NA,NA,NA
skein,4,5,1,13,NA,NA,NA,NA
skeins,5,6,1,7,NA,NA,NA,NA
skeletons,8,9,0,1,NA,NA,NA,NA
skier,5,5,2,4,NA,NA,NA,NA
skies,4,5,7,9,NA,NA,NA,NA
skill,4,5,4,15,365,463,305,336
skills,5,6,3,11,NA,NA,NA,NA
skirmishes,8,10,0,0,NA,NA,NA,NA
skits,NA,5,8,NA,NA,NA,NA,NA
skulls,5,6,2,4,NA,NA,NA,NA
skunks,NA,6,0,NA,NA,NA,NA,NA
skyrockets,NA,10,0,NA,NA,NA,NA,NA
skywriter,NA,9,0,NA,NA,NA,NA,NA
slab,4,4,8,12,449,NA,455,NA
slabs,5,5,7,6,NA,NA,NA,NA
slacks,5,6,5,12,NA,NA,NA,NA
slang,4,5,4,10,464,NA,411,NA
slats,5,5,9,9,NA,NA,NA,NA
slavery,7,7,1,1,NA,460,517,NA
slavs,NA,5,5,NA,NA,NA,NA,NA
sleepiness,8,10,0,1,NA,NA,NA,NA
sleepovers,NA,10,0,NA,NA,NA,NA,NA
sleeve,4,6,0,7,272,NA,550,NA
sleeves,5,7,0,3,NA,NA,NA,NA
sleight,NA,7,0,NA,NA,NA,NA,NA
sleuths,NA,7,0,NA,NA,NA,NA,NA
slicks,NA,6,5,NA,NA,NA,NA,NA
slobs,5,5,7,7,NA,NA,NA,NA
sloop,4,5,3,14,NA,NA,NA,NA
sloppiness,8,10,0,1,NA,NA,NA,NA
sloth,4,5,3,7,NA,577,NA,300
sluice,4,6,0,6,NA,NA,NA,NA
slut,4,4,8,13,NA,NA,NA,NA
sluts,NA,5,8,NA,NA,NA,NA,NA
smattering,8,10,3,2,NA,NA,NA,NA
smit,NA,4,7,NA,NA,NA,NA,NA
smock,4,5,3,8,NA,NA,NA,NA
snails,5,6,1,6,NA,NA,NA,NA
snapdragon,NA,10,0,NA,NA,NA,NA,NA
snares,4,6,8,11,NA,NA,NA,NA
snee,NA,4,1,NA,NA,NA,NA,NA
snobbery,7,8,0,0,NA,NA,NA,NA
sobriquet,NA,9,0,NA,NA,NA,NA,NA
socialists,9,10,0,1,NA,NA,NA,NA
socialites,NA,10,0,NA,NA,NA,NA,NA
sodium,5,6,1,1,NA,NA,423,NA
softener,6,8,1,1,NA,NA,NA,NA
sojourner,NA,9,0,NA,NA,NA,NA,NA
soles,4,5,9,17,NA,NA,NA,NA
soloist,7,7,0,1,NA,NA,NA,NA
soloists,8,8,0,1,NA,NA,NA,NA
solution,6,8,0,2,506,NA,391,NA
solutions,7,9,0,1,NA,NA,NA,NA
solvency,8,8,0,0,NA,NA,NA,NA
sonatas,7,7,0,1,NA,NA,NA,NA
songs,4,5,4,8,NA,NA,NA,NA
sons,4,4,11,14,NA,NA,NA,NA
soot,3,4,16,8,NA,NA,531,NA
soothsayer,NA,10,0,NA,NA,NA,NA,NA
sopranos,NA,8,0,NA,NA,NA,NA,NA
sorcerers,7,9,1,1,NA,NA,NA,NA
sorcery,6,7,0,1,NA,NA,NA,NA
sores,3,5,6,32,NA,NA,NA,NA
sos,NA,3,12,NA,NA,NA,NA,NA
soss,NA,4,8,NA,NA,NA,NA,NA
sot,NA,3,21,NA,NA,NA,NA,NA
souk,NA,4,5,NA,NA,NA,NA,NA
souls,4,5,1,17,NA,NA,NA,NA
soup,3,4,4,20,260,232,608,NA
soups,NA,5,3,NA,NA,NA,NA,NA
sousaphone,NA,10,0,NA,NA,NA,NA,NA
southerner,7,10,0,0,NA,NA,NA,NA
souvenir,7,8,0,1,NA,NA,NA,NA
souvenirs,7,9,0,1,NA,NA,NA,NA
soviets,7,7,0,1,NA,NA,NA,NA
sox,NA,3,14,NA,NA,NA,NA,NA
spa,3,3,2,5,NA,NA,NA,NA
spades,5,6,3,4,NA,NA,NA,NA
spaghetti,7,9,0,0,NA,NA,NA,NA
spam,NA,4,7,NA,NA,NA,NA,NA
spas,NA,4,4,NA,NA,NA,NA,NA
spate,4,5,9,15,NA,NA,NA,NA
spats,5,5,6,9,NA,NA,NA,NA
spatulas,NA,8,0,NA,NA,NA,NA,NA
specialty,7,9,1,0,NA,NA,NA,NA
specifics,9,9,1,1,NA,NA,NA,NA
specimen,8,8,0,1,NA,NA,417,NA
specimens,9,9,0,1,NA,NA,NA,NA
specks,5,6,1,9,NA,NA,NA,NA
spectacle,8,9,0,2,NA,NA,NA,NA
spectacles,9,10,1,2,NA,NA,NA,NA
spectator,9,9,0,1,NA,NA,NA,NA
spectators,9,10,0,1,NA,NA,NA,NA
speech,4,6,0,3,369,NA,447,NA
sperm,4,5,0,4,597,NA,548,NA
sperms,NA,6,0,NA,NA,NA,NA,NA
sphere,4,6,0,6,442,NA,553,NA
spheres,4,7,0,7,NA,NA,NA,NA
sphinx,6,6,0,2,NA,NA,NA,NA
spiel,4,5,3,2,NA,NA,NA,NA
spillover,NA,9,0,NA,NA,NA,NA,NA
spine,4,5,9,17,423,NA,543,NA
spines,5,6,4,8,NA,NA,NA,NA
spire,5,5,7,4,438,NA,483,NA
spleen,5,6,0,0,NA,NA,NA,NA
splints,7,7,1,3,NA,NA,NA,NA
spore,4,5,9,13,NA,NA,NA,NA
spouse,4,6,0,7,NA,NA,NA,NA
sprees,NA,6,1,NA,NA,NA,NA,NA
sprite,5,6,0,5,NA,NA,NA,NA
spurge,NA,6,0,NA,NA,NA,NA,NA
spurs,4,5,3,11,NA,NA,NA,NA
squad,5,5,3,5,438,NA,432,NA
squads,6,6,3,2,NA,NA,NA,NA
squalls,6,7,0,3,NA,NA,NA,NA
stabler,7,7,1,0,NA,NA,NA,NA
staccato,7,8,0,0,NA,NA,NA,NA
stadium,7,7,0,1,NA,NA,586,NA
stadiums,8,8,0,1,NA,NA,NA,NA
stagnation,8,10,0,0,NA,NA,NA,NA
staircases,8,10,0,0,NA,NA,NA,NA
stamina,7,7,0,0,NA,NA,NA,NA
stance,5,6,1,2,574,NA,154,NA
staph,NA,5,1,NA,NA,NA,NA,NA
stapler,NA,7,3,NA,NA,NA,NA,NA
staplers,NA,8,0,NA,NA,NA,NA,NA
stargazer,NA,9,0,NA,NA,NA,NA,NA
stargazers,NA,10,0,NA,NA,NA,NA,NA
starvation,7,10,0,0,NA,NA,NA,NA
statism,NA,7,0,NA,NA,NA,NA,NA
statistic,9,9,0,1,NA,NA,NA,NA
statistics,10,10,0,1,NA,NA,NA,NA
statuette,NA,9,0,NA,NA,NA,NA,NA
stead,4,5,4,17,NA,NA,NA,NA
steadiness,8,10,0,0,NA,465,NA,336
steaks,5,6,2,11,NA,NA,NA,NA
stealth,5,7,0,0,NA,NA,NA,NA
stench,5,6,0,1,NA,NA,NA,NA
stepfather,9,10,0,0,NA,NA,NA,NA
stepmother,9,10,0,0,NA,465,NA,438
steppes,5,7,1,5,NA,NA,NA,NA
stereo,6,6,0,1,NA,NA,NA,NA
stereos,7,7,0,1,NA,NA,NA,NA
stevedore,NA,9,0,NA,NA,NA,NA,NA
stews,5,5,2,2,NA,NA,NA,NA
stiffener,NA,9,1,NA,NA,NA,NA,NA
stiffs,NA,6,3,NA,NA,NA,NA,NA
stigmata,8,8,0,0,NA,NA,NA,NA
stiletto,7,8,0,0,NA,NA,NA,NA
stilettos,NA,9,0,NA,NA,NA,NA,NA
stilt,NA,5,4,NA,NA,NA,NA,NA
stilts,6,6,3,2,NA,NA,NA,NA
stimulants,11,10,0,1,NA,NA,NA,NA
stimuli,8,7,0,0,NA,NA,NA,NA
stimulus,9,8,0,0,NA,NA,NA,NA
stinginess,9,10,0,0,NA,NA,NA,NA
stints,6,6,5,4,NA,NA,NA,NA
stones,5,6,5,6,NA,NA,NA,NA
stool,4,5,3,12,203,NA,584,NA
stools,5,6,2,8,NA,NA,NA,NA
stopover,8,8,0,0,NA,NA,NA,NA
stopovers,NA,9,0,NA,NA,NA,NA,NA
stoppages,8,9,0,0,NA,NA,NA,NA
stores,4,6,12,19,NA,NA,NA,NA
storminess,NA,10,0,NA,NA,NA,NA,NA
storyboard,NA,10,0,NA,NA,NA,NA,NA
storybook,8,9,0,0,NA,NA,NA,NA
storybooks,NA,10,0,NA,NA,NA,NA,NA
storyline,NA,9,0,NA,NA,NA,NA,NA
stoup,NA,5,4,NA,NA,NA,NA,NA
stoves,5,6,5,3,NA,NA,NA,NA
stowaways,7,9,0,1,NA,NA,NA,NA
straights,6,9,0,6,NA,NA,NA,NA
strait,5,6,1,8,NA,NA,NA,NA
straits,6,7,1,6,NA,NA,NA,NA
strands,7,7,0,2,NA,NA,NA,NA
stratagem,9,9,0,1,NA,NA,NA,NA
stratagems,10,10,0,1,NA,NA,NA,NA
strategies,9,10,0,1,NA,NA,NA,NA
strategist,10,10,0,0,NA,NA,NA,NA
strategy,8,8,0,1,NA,NA,NA,NA
straws,5,6,2,3,NA,NA,NA,NA
streaks,6,7,2,5,NA,NA,NA,NA
streets,6,7,0,5,NA,NA,NA,NA
streng,NA,6,3,NA,NA,NA,NA,NA
strength,6,8,0,1,325,NA,470,NA
strengths,7,9,0,1,NA,NA,NA,NA
streps,NA,6,3,NA,NA,NA,NA,NA
strife,5,6,4,4,585,NA,234,NA
stringency,10,10,0,0,NA,NA,NA,NA
stripes,6,7,4,5,NA,NA,NA,NA
strontium,NA,9,0,NA,NA,NA,NA,NA
studios,8,7,1,1,NA,NA,NA,NA
studs,5,5,3,4,NA,NA,NA,NA
stull,NA,5,3,NA,NA,NA,NA,NA
stunts,6,6,1,2,NA,NA,NA,NA
sty,NA,3,6,NA,NA,NA,NA,NA
subchapter,NA,10,0,NA,NA,NA,NA,NA
subcompact,NA,10,0,NA,NA,NA,NA,NA
subculture,NA,10,0,NA,NA,NA,NA,NA
submarines,9,10,0,1,NA,NA,NA,NA
submersion,NA,10,1,NA,NA,NA,NA,NA
submission,7,10,0,0,NA,NA,NA,NA
subpoenas,NA,9,0,NA,NA,NA,NA,NA
subs,4,4,9,12,NA,NA,NA,NA
subscriber,10,10,1,0,NA,NA,NA,NA
subsection,NA,10,1,NA,NA,NA,NA,NA
subsidies,8,9,0,2,NA,NA,NA,NA
subsidy,7,7,1,1,NA,NA,NA,NA
substances,10,10,0,0,NA,NA,NA,NA
substation,NA,10,0,NA,NA,NA,NA,NA
subsurface,NA,10,0,NA,NA,NA,NA,NA
subsystem,NA,9,0,NA,NA,NA,NA,NA
